frameIndex;frameTime;nCandidates;F0Cand[0];F0Cand[1];F0Cand[2];candVoicing[0];candVoicing[1];candVoicing[2];candScores[0];candScores[1];candScores[2];pcm_LOGenergy
1288;12.880000;3;1.276255e+02;8.560513e+01;5.649663e+01;9.081065e-01;8.030491e-01;6.162149e-01;1.064817e-01;4.968231e-02;2.549598e-02;-7.169622e+00
1289;12.890000;2;1.139212e+02;8.091005e+01;0;9.008442e-01;7.278925e-01;0;1.013550e-01;3.693374e-02;0;-7.117565e+00
1290;12.900000;2;9.937641e+01;6.745370e+01;0;8.802457e-01;5.659895e-01;0;8.193321e-02;2.260741e-02;0;-7.270997e+00
1291;12.910000;3;1.401158e+02;9.535335e+01;6.307182e+01;9.124420e-01;8.577997e-01;5.512196e-01;1.113163e-01;6.854160e-02;2.171805e-02;-7.088648e+00
1292;12.920000;3;1.221177e+02;8.442339e+01;5.492359e+01;9.008577e-01;8.231069e-01;6.264164e-01;9.667192e-02;5.418115e-02;2.565497e-02;-7.282779e+00
1293;12.930000;3;1.129691e+02;8.087825e+01;5.004455e+01;8.816606e-01;7.023059e-01;5.433142e-01;7.731483e-02;3.073419e-02;2.003432e-02;-7.318307e+00
1294;12.940000;2;1.001901e+02;6.761208e+01;0;8.891150e-01;5.555010e-01;0;8.735467e-02;2.179154e-02;0;-7.263578e+00
1295;12.950000;3;2.774275e+02;1.399397e+02;9.459507e+01;8.990077e-01;8.977827e-01;8.669254e-01;9.025663e-02;8.917492e-02;6.849707e-02;-7.322670e+00
1296;12.960000;3;1.250757e+02;8.460681e+01;5.524478e+01;9.117661e-01;7.839476e-01;6.263500e-01;1.165471e-01;4.759680e-02;2.752149e-02;-7.124794e+00
1297;12.970000;3;1.132857e+02;7.971979e+01;5.041354e+01;8.928629e-01;7.294237e-01;5.656698e-01;8.612804e-02;3.410318e-02;2.124538e-02;-7.326036e+00
1298;12.980000;2;1.007528e+02;6.883276e+01;0;8.763497e-01;5.051933e-01;0;7.404179e-02;1.850276e-02;0;-7.409110e+00
1299;12.990000;3;2.790186e+02;1.411444e+02;9.474479e+01;9.015304e-01;8.865558e-01;8.815611e-01;8.673381e-02;7.528497e-02;7.211014e-02;-7.500150e+00
1300;13.000000;3;1.279594e+02;8.499673e+01;5.721299e+01;9.037402e-01;6.897927e-01;6.247276e-01;8.430758e-02;2.616131e-02;2.162544e-02;-7.551126e+00
